secid,date,days,volatility,ticker,index_flag
101310,09/04/2012,10,0.106236,AMZN,0
101310,09/04/2012,14,0.152887,AMZN,0
101310,09/04/2012,30,0.144432,AMZN,0
101310,09/04/2012,60,0.273272,AMZN,0
101310,09/04/2012,91,0.251267,AMZN,0
101310,09/04/2012,122,0.252915,AMZN,0
101310,09/04/2012,152,0.334757,AMZN,0
101310,09/04/2012,182,0.325004,AMZN,0
101310,09/04/2012,273,0.332291,AMZN,0
101310,09/04/2012,365,0.379454,AMZN,0
101310,09/04/2012,547,0.370634,AMZN,0
101310,09/04/2012,730,0.354229,AMZN,0
101310,09/04/2012,1825,0.464723,AMZN,0
101310,09/05/2012,10,0.108649,AMZN,0
101310,09/05/2012,14,0.145631,AMZN,0
101310,09/05/2012,30,0.14618,AMZN,0
101310,09/05/2012,60,0.270832,AMZN,0
101310,09/05/2012,91,0.249162,AMZN,0
101310,09/05/2012,122,0.251775,AMZN,0
101310,09/05/2012,152,0.333439,AMZN,0
101310,09/05/2012,182,0.324794,AMZN,0
101310,09/05/2012,273,0.331907,AMZN,0
101310,09/05/2012,365,0.378455,AMZN,0
101310,09/05/2012,547,0.37051,AMZN,0
101310,09/05/2012,730,0.353921,AMZN,0
101310,09/05/2012,1825,0.464644,AMZN,0
101310,09/06/2012,10,0.148755,AMZN,0
101310,09/06/2012,14,0.165531,AMZN,0
101310,09/06/2012,30,0.15693,AMZN,0
101310,09/06/2012,60,0.271351,AMZN,0
101310,09/06/2012,91,0.251902,AMZN,0
101310,09/06/2012,122,0.253944,AMZN,0
101310,09/06/2012,152,0.33307,AMZN,0
101310,09/06/2012,182,0.324783,AMZN,0
101310,09/06/2012,273,0.331244,AMZN,0
101310,09/06/2012,365,0.378634,AMZN,0
101310,09/06/2012,547,0.370734,AMZN,0
101310,09/06/2012,730,0.354081,AMZN,0
101310,09/06/2012,1825,0.464545,AMZN,0
101310,09/07/2012,10,0.216957,AMZN,0
101310,09/07/2012,14,0.204133,AMZN,0
